date,area,area_type,unvaccinated_cases,vaccinated_cases,unvaccinated_hosp,vaccinated_hosp,unvaccinated_deaths,vaccinated_deaths,population_unvaccinated,population_vaccinated,unvaccinated_cases_per_100k,vaccinated_cases_per_100k,unvaccinated_hosp_per_100k,vaccinated_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k
2022-02-16,California,State,3988,4466,206,192,95,54,7270862,27634099,59.9162598798956,17.9633140924913,3.27333952975589,0.700997292201514,1.26925410337473,0.229013127172029
2022-02-17,California,State,3540,3803,188,178,99,71,7252336,27656489,55.1979783774891,16.4001811137859,3.10244864551229,0.673053102087026,1.21931156290292,0.232443511848935
2022-02-18,California,State,2910,3489,175,162,80,58,7228852,27687302,50.6166124303001,15.0636356179244,2.95443078059184,0.648569617117004,1.13631953099686,0.22134953519745
2022-02-19,California,State,1730,2054,124,107,66,37,7214637,27704788,48.6609968833399,14.2749951483373,2.73650041476198,0.613096706811627,1.06529466218665,0.201099844959239
2022-02-20,California,State,1464,1827,131,127,72,63,7207958,27711724,47.1760319833796,13.7945740427925,2.54877020252179,0.602117511191808,1.20898120026306,0.202596046145874
2022-02-21,California,State,2177,2698,145,134,78,45,7190597,27730882,40.8529560003353,12.0402125790919,2.37611901845066,0.559458790899104,1.150311799066,0.194728750423445
2022-02-22,California,State,3116,3420,146,144,64,50,7175226,27750874,37.6792511981006,11.2001620458615,2.21994003095811,0.537434810676079,1.10300159385721,0.194588465934442
2022-02-23,California,State,2367,2747,138,136,70,46,7159361,27771470,34.528221163872,10.3075977921638,2.0891728824881,0.508229694513316,1.05556108389322,0.190328934180088
2022-02-24,California,State,2178,2543,116,136,51,35,7144617,27791100,31.876146355061,9.6526277425918,1.9495196773419,0.48628106531536,0.961763040822002,0.17168908648555
2022-02-25,California,State,1979,2346,105,131,62,43,7125786,27816317,30.0939232728652,9.05686297106017,1.81433619092286,0.4699194566782,0.928218404858876,0.163829843366498
2022-02-26,California,State,1049,1390,102,72,52,35,7114819,27830125,28.7729435863774,8.71152598642145,1.77295946872095,0.451720161926279,0.901538846495703,0.162721921966625
2022-02-27,California,State,970,1221,107,90,41,0,7110526,27835238,27.7978229539056,8.39891199370073,1.72581164479654,0.432647895550853,0.839801242753148,0.130358915148181
2022-02-28,California,State,2115,2675,134,107,44,39,7099903,27849284,27.7146643512494,8.38287773779544,1.70626073543339,0.418579625140196,0.772646370762289,0.127215376268099
2022-03-01,California,State,1935,2358,98,100,52,37,7088634,27865613,25.3786554645084,7.83351560526281,1.61223889236931,0.395777097333959,0.749691084951729,0.120476188955285
2022-03-02,California,State,1576,2022,81,102,34,30,7076491,27882406,23.825367685764,7.45733963663578,1.49993629812936,0.378118629463223,0.678302282868727,0.112205934759412
2022-03-03,California,State,1382,1907,100,97,46,38,7064186,27898724,22.2571392413183,7.12731009285074,1.47019264296188,0.357927276018584,0.669372441293509,0.113676473928649
2022-03-04,California,State,1241,1595,96,70,32,24,7047780,27920831,20.8130381887224,6.73741715331774,1.45537216785184,0.326433182246106,0.610121201286079,0.103865103441943
2022-03-05,California,State,777,1134,72,77,34,30,7038098,27932782,20.2895725521299,6.60360800643283,1.39648118406016,0.328850677519851,0.574424673094513,0.101263505674853
2022-03-06,California,State,704,961,78,60,34,27,7033341,27938100,19.7630116327361,6.46940404475813,1.33852257615345,0.31344804611419,0.560595191226637,0.115050261624295
2022-03-07,California,State,1564,2008,77,93,37,24,7025031,27949290,18.6659064463305,6.12589034334274,1.22419388611951,0.306166734723596,0.547023513897254,0.107337252574216
2022-03-08,California,State,1254,1800,62,75,36,22,7014694,27963849,17.3065282676621,5.83763905830192,1.15268239579863,0.293235741617686,0.515244957839318,0.0996184139641966
2022-03-09,California,State,1208,1570,89,76,34,21,7004327,27977781,16.5815869451636,5.60393671984616,1.17070490855153,0.279813879041066,0.516007564222189,0.094973323908099
2022-03-10,California,State,1025,1374,78,83,33,27,6993620,27990967,15.8777367290269,5.32927028106705,1.12755830109647,0.272536901943096,0.49024273960716,0.0893145277903404
2022-03-11,California,State,898,1253,78,51,36,18,6979448,28009103,15.2079157467549,5.15138647195215,1.09300498099154,0.262669706243105,0.499425496932463,0.0861964667089023
2022-03-12,California,State,569,830,46,51,23,18,6970786,28018890,14.8005445255999,4.99458961946234,1.04107956507958,0.249321592886595,0.477503028865243,0.0800480369799497
2022-03-13,California,State,486,724,45,53,24,17,6966382,28023139,14.3628561938095,4.87301379253562,0.97406577556532,0.245715309969889,0.457298248318034,0.0749380717128085
2022-03-14,California,State,1084,1586,56,66,20,16,6956574,28035413,13.3973993520374,4.65584621238044,0.932314424559314,0.231849625329222,0.423032536253786,0.0708287866390371
2022-03-15,California,State,1011,1433,57,76,19,18,6947464,28046389,12.9152985072785,4.46708894630657,0.92325569650821,0.232268250799977,0.388631017015705,0.0687636268815721
2022-03-16,California,State,888,1399,55,63,16,15,6938187,28057538,12.2736880480654,4.37824791123359,0.85448423753517,0.225556904835037,0.352088685827745,0.0656813560354848
2022-03-17,California,State,858,1262,62,58,26,19,6929741,28067723,11.944375492739,4.31965418580115,0.822541563963213,0.212750730489558,0.338087259373351,0.0615857377732931
2022-03-18,California,State,722,1102,59,57,19,15,6918326,28082096,11.6006593006954,4.24062770406149,0.784665456437212,0.215694115465699,0.303541637095448,0.0600280793041334
2022-03-19,California,State,387,773,42,34,12,11,6911459,28089722,11.2359984855792,4.21048768554664,0.777177231526451,0.206989792005977,0.281106658211695,0.0564517614561755
2022-03-20,California,State,419,797,38,42,20,16,6907965,28092807,11.1031251605936,4.24714716882103,0.763094279057374,0.201373357142377,0.272976815272556,0.0559370436506602
2022-03-21,California,State,953,1568,52,59,23,12,6900683,28101026,10.8436471329826,4.23675430417177,0.755618786471675,0.197755870449102,0.279475441571715,0.0538872037727631
2022-03-22,California,State,1039,1789,40,47,12,13,6893462,28109257,10.9130320046112,4.41644036136769,0.721180238815935,0.182959554671158,0.265261697035746,0.0513303195049639
2022-03-23,California,State,739,1365,43,47,13,10,6885258,28118201,10.6168861065192,4.39776153734525,0.697141632165418,0.174772408600597,0.259353285775825,0.0487736954234224
2022-03-24,California,State,729,1390,44,48,9,9,6878043,28126945,10.360089760582,4.46140575472076,0.660486877278485,0.169639062167206,0.224316297943636,0.0436795190011368
2022-03-25,California,State,690,1154,40,48,20,14,6869101,28138093,10.3070256209655,4.48603860356036,0.62183225598642,0.165002551624843,0.226688013051906,0.0431545135018821
2022-03-26,California,State,426,924,25,49,12,9,6863188,28144636,10.3970841039387,4.56164060127529,0.586982525988131,0.172577924160855,0.226883316782646,0.0421293167804439
2022-03-27,California,State,473,983,39,35,11,12,6860128,28147436,10.5141728300946,4.65558771118112,0.589326779741886,0.169008035301789,0.208242678354023,0.04009499936589
2022-03-28,California,State,902,1784,44,39,9,14,6853483,28153913,10.4180604227077,4.76411827473401,0.573222612293841,0.158820856320348,0.179262344208256,0.0411006049902497
2022-03-29,California,State,866,1672,32,45,11,12,6846983,28160957,10.0669990605456,4.70357391821389,0.557075388428117,0.157766553986682,0.177346097439663,0.0405830363952881
2022-03-30,California,State,874,1601,40,44,8,10,6840329,28168271,10.3587331628556,4.82204148875774,0.551351926410056,0.156204120586599,0.167076341336381,0.0405724988536621
2022-03-31,California,State,750,1544,36,32,12,10,6834008,28175245,10.412212402611,4.89893065450084,0.535138802463043,0.148052965339914,0.173502033611065,0.0410694869607294
2022-04-01,California,State,791,1654,43,51,10,6,6825067,28185173,10.6372582129963,5.1506310985364,0.542119220221574,0.149521371193489,0.152798081375193,0.0370002037190669
2022-04-02,California,State,465,1127,26,27,0,9,6819360,28190829,10.7278605114179,5.25246804808147,0.544667786168455,0.138342863205619,0.127787442139522,0.0369927802710996
2022-04-03,California,State,506,1168,33,39,5,9,6816430,28193179,10.801632442286,5.34577124893527,0.532327248804936,0.140358164545504,0.115267711355399,0.035469572267817
2022-04-04,California,State,1137,2394,33,55,10,9,6809521,28199728,11.3055990701423,5.65354997142424,0.50979042012332,0.148431016274848,0.117482565954345,0.0329283824500516
2022-04-05,California,State,1024,2103,34,48,13,12,6803605,28205961,11.6471866228062,5.87059289650561,0.514433157127729,0.149917651398987,0.121784175973095,0.0329211058815344
2022-04-06,California,State,983,2200,35,59,12,12,6797732,28212615,11.8863173776195,6.17251740552434,0.504369902869285,0.157477679501072,0.130295558241232,0.0339260595709705
2022-04-07,California,State,956,1921,40,56,6,10,6791814,28218911,12.3299691574088,6.36199502626347,0.513222871785695,0.169592451165613,0.117788855819668,0.0339184902331226
2022-04-08,California,State,913,1836,28,57,11,5,6784024,28227577,12.6010335879876,6.45215037155231,0.482225382962762,0.172576929696395,0.120029898816059,0.0334019863928506
2022-04-09,California,State,541,1384,30,47,4,5,6779681,28232157,12.769248076927,6.58114787332757,0.490962838601319,0.18266910520308,0.128535335427813,0.031372533303576
2022-04-10,California,State,596,1490,28,38,6,3,6777475,28234243,12.9631083636816,6.74358437731091,0.480583529580391,0.182149638042612,0.130684994885896,0.0283343881399618
2022-04-11,California,State,1286,2888,32,65,9,10,6772339,28239508,13.2872430464149,6.99223027742349,0.478838573033208,0.187174446725994,0.128674682621259,0.028834982333464
2022-04-12,California,State,1215,2645,39,59,2,8,6766836,28244993,13.7012757091033,7.265004455834,0.489783661712167,0.192701663719908,0.105556823644864,0.0268062681815095
2022-04-13,California,State,1150,2602,29,48,4,11,6760767,28251585,14.0664513360688,7.46658487100307,0.477545140746816,0.187094433311062,0.0887473270414437,0.0262943527896627
2022-04-14,California,State,1063,2420,28,54,9,7,6754605,28258134,14.3055843278136,7.71712061990465,0.452601278260218,0.186039986120204,0.0951731659892981,0.0247716285866576
2022-04-15,California,State,972,2401,39,53,6,11,6746728,28266565,14.4472147938124,8.00036570212395,0.476421417061087,0.183962925810052,0.08469714081086,0.0277965959328375
2022-04-16,California,State,684,1842,38,45,7,7,6742072,28271053,14.7601932631817,8.23052874209228,0.493701554740357,0.182923097043063,0.091112304093714,0.0288028080979408
2022-04-17,California,State,637,1571,27,40,7,7,6739583,28273200,14.8525509664322,8.27083093328159,0.49176421067679,0.18391975439639,0.0932656261628395,0.0308217170829114
2022-04-18,California,State,1788,4088,41,77,10,4,6733943,28279070,15.9299579119438,8.87531712626032,0.511269124620916,0.18994360746052,0.0954651892445693,0.0277843042827889
2022-04-19,California,State,1697,3776,38,73,6,3,6728066,28285009,16.9673042531305,9.44467994133773,0.509592419065364,0.196974608402231,0.104041785559179,0.0252531549233629
2022-04-20,California,State,1621,3668,41,70,10,4,6722156,28291051,17.983175975939,9.9809451607658,0.535542465839829,0.208041556523096,0.116884268338058,0.0217130750740124
2022-04-21,California,State,1563,3566,43,80,4,6,6716596,28296612,19.0615263190717,10.5575486260637,0.567889703993766,0.221126927037868,0.106346386515687,0.0212039519077408
2022-04-22,California,State,1458,3286,29,66,4,6,6710043,28303798,20.1148380973756,11.0015523106021,0.547154253918875,0.227632247193721,0.102192234194965,0.01867492937066
2022-04-23,California,State,1035,2341,30,55,9,3,6705981,28307698,20.8747555780003,11.2518610914348,0.530443324719062,0.232647468745579,0.106514723839169,0.016653723359228
2022-04-24,California,State,995,2400,37,58,10,5,6703307,28309820,21.6460323240454,11.6693480515645,0.551966365258223,0.241713198559975,0.112950646172532,0.0156432341448
2022-04-25,California,State,2295,5068,68,75,9,5,6697204,28315418,22.7472325977911,12.161471282435,0.6100626897007,0.240656370119124,0.110920489036491,0.0161446621463563
2022-04-26,California,State,2231,4849,62,81,5,4,6690975,28321067,23.9085377798346,12.7002882442852,0.661872362185097,0.244643728591562,0.108888678940129,0.0166458619454052
2022-04-27,California,State,2204,4796,46,81,5,8,6684374,28326805,25.1781243838241,13.2665861893002,0.673211881920431,0.250141669196872,0.0983103065661582,0.0186597616134763
